ID,Year_Birth,Age,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,TotalSpend,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,TotalCampaignsAccepted,Complain
1,1967,57,Graduation,Single,69900.0,1,1,2020-08-16,85,293,44,309,204,63,24,937,1,2,3,5,6,0,0,0,0,0,0,0,0
2,1955,69,2n Cycle,Married,33500.0,0,0,2020-02-21,21,448,60,69,45,80,27,729,5,6,2,3,6,0,0,0,0,0,0,0,0
3,1992,32,Master,Together,58000.0,0,1,2021-07-17,51,400,25,725,27,54,215,1446,2,6,5,7,9,0,0,1,0,0,0,1,0
4,1986,38,PhD,Absurd,26800.0,0,0,2021-05-16,14,1067,12,223,63,314,88,1767,1,2,2,6,5,0,0,0,0,0,0,0,0
5,1976,48,Graduation,Single,62100.0,0,2,2021-04-02,16,763,82,290,117,104,258,1614,0,0,3,5,4,0,0,1,0,0,0,1,0
6,1960,64,Graduation,Together,42200.0,0,1,2020-10-12,50,1066,43,132,183,18,53,1495,1,6,2,9,1,0,0,0,0,0,1,0,0
7,1968,56,Graduation,Married,50700.0,0,1,2020-07-28,44,1396,5,49,31,21,43,1545,1,1,2,4,3,0,0,0,0,0,0,0,0
8,1967,57,Master,Single,69900.0,0,0,2020-06-27,62,440,323,352,647,30,19,1811,4,9,3,5,8,0,0,0,0,1,0,1,0
9,1972,52,PhD,Together,27700.0,0,1,2022-05-14,27,800,70,81,37,19,158,1165,2,4,3,6,2,0,0,1,0,0,1,1,0
10,1984,40,PhD,Married,36000.0,2,0,2020-03-06,58,470,18,44,176,46,40,794,0,7,4,5,6,0,0,0,0,0,0,0,0
11,1978,46,Graduation,Married,62300.0,0,0,2020-03-02,85,1370,62,93,64,11,64,1664,1,4,0,4,5,0,0,0,1,0,0,1,0
12,1957,67,Basic,Divorced,136900.0,0,2,2020-07-10,20,181,57,227,40,175,42,722,4,4,4,6,7,0,0,0,0,0,0,0,0
13,1984,40,Master,Single,46800.0,0,0,2021-03-23,41,256,53,32,8,32,1344,1725,1,2,1,9,5,0,0,0,0,1,0,1,0
14,1972,52,Graduation,Single,66400.0,1,2,2021-04-21,80,540,14,145,15,162,60,936,2,4,3,6,5,0,0,0,0,0,0,0,0
15,1976,48,Graduation,Divorced,47500.0,1,0,2022-10-31,68,612,32,583,176,9,25,1437,1,2,4,4,5,0,0,1,1,0,0,2,0
16,1985,39,Graduation,Together,127000.0,0,1,2020-02-24,81,425,49,243,114,17,29,877,0,4,3,5,7,0,0,0,0,0,0,0,0
17,1956,68,Graduation,Together,21600.0,0,0,2021-02-11,16,63,130,712,82,111,85,1183,2,6,2,5,6,1,0,0,1,0,0,2,0
18,1968,56,PhD,Together,52300.0,1,0,2022-05-09,67,297,34,128,285,16,25,785,4,5,1,9,2,0,0,1,0,0,0,1,0
19,1963,61,Graduation,Married,22900.0,1,0,2021-03-27,6,764,47,675,12,9,28,1535,4,4,1,4,4,0,0,1,0,0,0,1,0
20,1951,73,Graduation,Together,15000.0,1,1,2022-07-08,88,222,9,37,21,123,8,420,3,3,1,6,4,0,0,0,0,0,1,0,0
21,1972,52,PhD,Single,57700.0,1,0,2021-07-23,39,390,33,372,28,14,55,892,1,7,2,5,7,0,0,0,0,0,0,0,0
22,1996,28,Graduation,Together,53500.0,1,1,2020-01-14,39,2559,84,173,12,31,54,2913,4,4,2,7,4,0,0,0,0,1,0,1,0
23,1948,76,Graduation,Divorced,43600.0,1,0,2020-11-22,42,285,14,869,18,17,414,1617,4,4,0,3,10,0,0,0,0,0,0,0,0
24,1968,56,Graduation,Together,47500.0,0,0,2022-05-15,72,298,19,124,14,76,29,560,1,2,4,7,6,0,0,0,0,0,0,0,0
25,1976,48,Graduation,Together,180000.0,1,0,2021-11-27,82,561,23,147,27,52,30,840,3,4,3,5,9,0,0,0,0,0,0,0,0
26,1970,54,Master,Together,44200.0,1,0,2021-07-23,50,434,8,327,16,92,39,916,4,10,3,7,0,0,0,0,0,0,0,0,0
27,1967,57,Graduation,Together,63900.0,0,1,2020-11-14,72,413,14,1238,41,11,219,1936,2,7,3,3,6,0,0,0,0,0,0,0,0
28,1954,70,PhD,Single,36600.0,2,1,2021-03-16,22,500,57,238,381,40,96,1312,0,6,3,10,5,0,0,0,0,0,0,0,0
29,1971,53,PhD,Married,57600.0,0,0,2021-11-20,94,134,23,187,16,35,170,565,1,4,1,10,3,0,0,0,0,0,0,0,0
30,1960,64,Graduation,Together,44600.0,0,1,2020-07-28,31,305,12,60,154,14,81,626,3,3,3,2,9,0,0,0,0,0,0,0,0
31,1944,80,PhD,Married,41100.0,1,1,2020-07-08,30,113,445,539,54,10,31,1192,1,7,6,6,10,0,0,0,0,0,0,0,0
32,1982,42,Graduation,Married,119700.0,0,0,2022-02-17,16,443,21,222,80,35,29,830,1,5,5,5,7,0,0,0,0,0,0,0,0
33,1979,45,Graduation,Together,,0,0,2020-07-17,57,636,62,411,50,22,20,1201,3,4,3,6,8,0,0,0,0,0,0,0,0
34,1969,55,2n Cycle,Single,53400.0,0,0,2022-01-05,85,309,44,238,9,129,28,757,3,3,2,7,4,0,0,0,0,0,0,0,0
35,1971,53,Basic,Divorced,16500.0,0,0,2021-12-05,34,116,37,1936,10,80,95,2274,4,6,5,6,5,0,0,0,0,1,1,1,0
36,1980,44,Master,Together,42100.0,0,0,2021-06-25,29,225,5,105,82,14,45,476,2,5,3,4,11,0,0,0,0,0,1,0,0
37,1971,53,Graduation,Single,180000.0,0,0,2020-03-29,63,2394,151,190,61,36,31,2863,0,1,1,5,7,0,0,0,0,0,0,0,0
38,1978,46,Graduation,Together,44800.0,0,1,2022-07-29,52,1541,43,584,9,58,70,2305,1,3,2,7,7,0,0,0,0,0,0,0,0
39,1965,59,PhD,Together,84900.0,2,0,2020-09-12,50,249,93,625,38,71,203,1279,5,4,4,5,7,0,0,0,0,0,0,0,0
40,1983,41,Graduation,Married,99900.0,2,0,2022-02-14,36,264,123,656,92,135,21,1291,2,9,5,8,6,1,0,0,1,0,0,2,0
41,1972,52,Graduation,Married,55600.0,0,0,2020-06-10,89,321,246,192,13,29,92,893,4,3,3,7,5,0,0,0,0,0,0,0,0
42,1971,53,Graduation,Married,33400.0,1,0,2021-08-23,5,1219,9,229,25,36,7,1525,2,6,1,3,6,0,0,0,0,0,0,0,0
43,1955,69,Graduation,Together,15500.0,0,0,2022-01-10,33,52,11,37,267,3,16,386,2,2,1,2,6,0,0,0,0,0,1,0,0
44,1972,52,2n Cycle,Married,69500.0,0,1,2021-01-28,55,230,18,173,87,12,19,539,2,7,3,9,5,0,0,0,0,0,1,0,0
45,1959,65,Graduation,Married,33800.0,0,0,2020-05-22,95,506,11,247,294,91,104,1253,5,2,5,11,7,0,0,0,0,0,0,0,0
46,1961,63,PhD,Married,54400.0,2,1,2020-04-03,24,471,149,260,29,11,331,1251,2,7,5,6,2,0,0,0,0,0,1,0,0
47,1960,64,Graduation,Widow,27400.0,2,0,2021-04-11,12,210,9,78,153,5,160,615,3,6,3,5,7,0,0,0,0,0,0,0,0
48,1957,67,PhD,Married,44000.0,0,1,2021-08-15,62,269,19,65,14,77,157,601,2,6,0,3,4,0,0,0,0,0,0,0,0
49,1992,32,PhD,Together,50800.0,0,1,2020-06-12,65,484,7,609,114,20,21,1255,1,3,1,10,6,0,0,0,0,0,1,0,0
50,1983,41,Graduation,Married,56900.0,0,0,2021-04-21,4,246,72,512,21,14,96,961,3,6,0,3,6,0,0,0,0,0,0,0,0
51,1990,34,Basic,Together,29300.0,0,1,2020-07-25,74,117,24,138,70,6,62,417,1,4,2,10,1,0,0,0,0,0,1,0,0
52,1955,69,Master,Married,88800.0,0,0,2022-02-17,10,334,89,623,82,12,23,1163,1,6,0,7,7,1,0,0,0,0,0,1,0
53,1969,55,2n Cycle,Married,37600.0,0,1,2021-07-23,87,406,67,532,94,18,164,1281,6,4,0,7,2,0,0,1,0,0,0,1,0
54,1954,70,2n Cycle,Together,22400.0,1,0,2022-07-17,77,44,4,30,12,24,76,190,2,3,2,5,4,0,0,0,0,0,0,0,0
55,1961,63,PhD,Married,47500.0,0,2,2022-01-17,93,511,37,170,61,140,40,959,2,7,1,6,4,0,0,0,0,0,1,0,0
